ride_id,driver_id,city,fare,trip_distance,ride_date
1,103,Hyderabad,205,35.89,2024-02-13
2,105,Hyderabad,152,12.57,2024-01-16
3,103,Hyderabad,501,41.25,2024-01-15
4,101,Mumbai,173,39.96,2024-03-22
5,105,Delhi,82,31.89,2024-02-11
6,101,Bangalore,482,36.87,2024-01-11
7,104,Hyderabad,156,40.92,2024-01-21
8,104,Delhi,424,25.1,2024-02-09
9,104,Hyderabad,343,37.23,2024-03-14
10,105,Chennai,467,5.02,2024-03-22
11,104,Bangalore,458,32.04,2024-02-26
12,105,Hyderabad,169,18.06,2024-03-05
13,104,Chennai,312,3.49,2024-01-28
14,101,Chennai,117,21.18,2024-01-06
15,104,Bangalore,350,33.15,2024-01-27
16,104,Hyderabad,353,40.5,2024-01-25
17,104,Bangalore,113,11.47,2024-03-30
18,104,Chennai,354,27.57,2024-03-01
19,103,Hyderabad,292,39.61,2024-01-19
20,102,Mumbai,155,12.89,2024-02-20
21,105,Bangalore,423,34.71,2024-03-02
22,103,Bangalore,408,37.56,2024-02-11
23,101,Hyderabad,543,31.13,2024-03-22
24,104,Delhi,464,34.64,2024-03-01
25,104,Bangalore,89,26.42,2024-01-09
26,101,Bangalore,276,43.11,2024-02-20
27,105,Hyderabad,256,26.25,2024-01-18
28,103,Chennai,137,42.65,2024-02-23
29,104,Hyderabad,520,11.08,2024-01-14
30,102,Delhi,217,38.19,2024-03-21
31,105,Delhi,496,26.82,2024-03-28
32,103,Delhi,157,9.31,2024-01-23
33,103,Chennai,233,26.86,2024-01-11
34,103,Delhi,81,8.13,2024-01-19
35,103,Bangalore,411,44.51,2024-01-07
36,104,Mumbai,87,42.12,2024-03-08
37,104,Hyderabad,449,38.6,2024-03-18
38,101,Chennai,285,34.18,2024-02-23
39,104,Hyderabad,546,32.45,2024-01-18
40,101,Mumbai,452,18.36,2024-03-14
41,101,Mumbai,132,44.89,2024-03-26
42,101,Delhi,190,42.08,2024-01-08
43,101,Delhi,305,9.27,2024-03-27
44,103,Bangalore,442,23.58,2024-02-12
45,105,Mumbai,335,17.88,2024-02-07
46,105,Bangalore,127,8.42,2024-02-05
47,105,Bangalore,245,41.95,2024-03-26
48,101,Hyderabad,285,21.54,2024-03-04
49,103,Bangalore,200,38.31,2024-01-11
50,105,Bangalore,139,40.82,2024-01-03
51,102,Hyderabad,357,5.54,2024-03-30
52,104,Hyderabad,479,33.76,2024-02-19
53,105,Delhi,210,36.19,2024-01-03
54,104,Delhi,519,10.02,2024-03-10
55,102,Bangalore,533,19.82,2024-03-07
56,102,Mumbai,443,1.77,2024-03-14
57,104,Bangalore,137,19.08,2024-01-31
58,101,Bangalore,371,38.78,2024-03-14
59,102,Bangalore,347,9.84,2024-03-20
60,104,Delhi,104,31.7,2024-03-27
61,103,Delhi,516,4.74,2024-03-22
62,104,Bangalore,419,3.9,2024-01-03
63,103,Hyderabad,457,1.94,2024-03-03
64,104,Mumbai,461,25.18,2024-01-28
65,105,Delhi,514,37.13,2024-01-31
66,104,Bangalore,131,20.25,2024-03-06
67,101,Hyderabad,267,43.46,2024-01-07
68,101,Mumbai,310,21.52,2024-02-14
69,103,Mumbai,237,25.82,2024-01-16
70,103,Mumbai,228,41.23,2024-02-28
71,103,Bangalore,154,12.39,2024-01-09
72,102,Bangalore,542,38.7,2024-02-09
73,104,Delhi,444,21.39,2024-01-11
74,102,Hyderabad,597,10.33,2024-03-27
75,103,Chennai,338,34.03,2024-01-08
76,102,Bangalore,440,24.28,2024-02-25
77,102,Chennai,414,23.02,2024-01-31
78,102,Hyderabad,578,10.92,2024-03-10
79,101,Delhi,525,41.49,2024-03-18
80,105,Delhi,566,16.97,2024-02-11
81,101,Chennai,483,17.34,2024-01-07
82,102,Mumbai,102,18.17,2024-03-24
83,103,Chennai,578,27.47,2024-03-08
84,104,Mumbai,324,22.54,2024-01-11
85,104,Bangalore,384,9.02,2024-01-02
86,101,Hyderabad,356,28.82,2024-03-30
87,103,Chennai,576,4.81,2024-02-09
88,104,Mumbai,323,2.02,2024-02-15
89,101,Mumbai,410,5.49,2024-02-18
90,104,Bangalore,389,25.1,2024-01-17
91,101,Delhi,355,24.18,2024-03-05
92,101,Chennai,267,18.96,2024-03-22
93,101,Delhi,354,9.89,2024-01-06
94,101,Chennai,85,6.36,2024-01-31
95,104,Mumbai,181,16.47,2024-01-12
96,101,Delhi,158,31.95,2024-03-11
97,105,Delhi,407,15.17,2024-03-03
98,105,Chennai,351,12.81,2024-03-15
99,105,Delhi,225,3.77,2024-03-26
100,103,Mumbai,361,10.35,2024-02-19
101,104,Mumbai,586,43.36,2024-01-06
102,104,Bangalore,511,11.95,2024-02-16
103,105,Bangalore,528,6.43,2024-03-08
104,104,Mumbai,538,33.28,2024-03-18
105,102,Bangalore,563,41.71,2024-02-18
106,105,Bangalore,298,1.61,2024-02-24
107,105,Mumbai,155,25.99,2024-02-24
108,104,Hyderabad,327,13.37,2024-01-15
109,103,Delhi,238,33.18,2024-01-20
110,104,Chennai,559,45.0,2024-01-08
111,104,Hyderabad,293,37.56,2024-02-26
112,101,Delhi,444,31.44,2024-03-24
113,105,Bangalore,102,32.76,2024-02-01
114,104,Delhi,349,34.34,2024-03-29
115,103,Bangalore,102,12.85,2024-03-22
116,103,Hyderabad,563,11.31,2024-02-03
117,103,Mumbai,270,10.07,2024-02-28
118,104,Delhi,103,8.04,2024-03-29
119,102,Hyderabad,220,22.36,2024-01-27
120,105,Chennai,234,15.22,2024-01-29
121,104,Mumbai,285,43.61,2024-01-11
122,103,Delhi,284,36.9,2024-01-02
123,103,Delhi,445,37.58,2024-02-10
124,105,Chennai,271,7.12,2024-01-14
125,102,Hyderabad,498,10.09,2024-02-01
126,105,Delhi,600,38.56,2024-03-27
127,101,Chennai,321,13.37,2024-03-01
128,103,Chennai,295,16.71,2024-03-02
129,104,Delhi,404,20.67,2024-03-09
130,102,Mumbai,339,29.64,2024-02-11
131,102,Hyderabad,588,12.48,2024-03-01
132,105,Mumbai,268,28.86,2024-02-14
133,102,Delhi,252,6.65,2024-01-04
134,104,Mumbai,505,43.39,2024-01-19
135,103,Delhi,564,13.04,2024-03-11
136,103,Bangalore,305,18.25,2024-01-05
137,104,Chennai,256,40.38,2024-03-11
138,105,Hyderabad,427,32.77,2024-01-23
139,103,Chennai,298,18.46,2024-03-05
140,104,Hyderabad,157,40.18,2024-03-09
141,105,Bangalore,115,30.61,2024-01-11
142,104,Mumbai,128,34.12,2024-01-20
143,104,Delhi,460,37.62,2024-02-22
144,104,Delhi,121,32.78,2024-02-25
145,105,Bangalore,354,14.29,2024-02-02
146,104,Chennai,297,25.57,2024-01-04
147,102,Hyderabad,236,11.08,2024-02-11
148,103,Bangalore,570,30.49,2024-01-16
149,102,Hyderabad,325,8.44,2024-01-06
150,102,Hyderabad,117,27.41,2024-03-21
151,102,Mumbai,454,23.32,2024-02-18
152,104,Hyderabad,215,38.13,2024-01-19
153,103,Chennai,146,33.6,2024-01-30
154,102,Hyderabad,382,43.23,2024-01-29
155,102,Chennai,221,8.81,2024-03-04
156,101,Hyderabad,562,21.54,2024-01-02
157,104,Mumbai,124,9.3,2024-03-30
158,102,Chennai,374,6.68,2024-02-16
159,101,Mumbai,373,14.41,2024-01-20
160,101,Bangalore,157,30.31,2024-03-26
161,102,Hyderabad,242,24.41,2024-03-08
162,104,Mumbai,307,11.38,2024-02-24
163,104,Hyderabad,180,15.99,2024-01-21
164,104,Chennai,356,43.98,2024-03-20
165,101,Chennai,430,7.21,2024-01-26
166,105,Delhi,153,39.36,2024-03-19
167,105,Mumbai,126,15.95,2024-03-17
168,101,Bangalore,434,31.36,2024-03-01
169,102,Bangalore,468,36.14,2024-03-02
170,103,Delhi,224,3.82,2024-01-11
171,102,Chennai,476,38.98,2024-02-05
172,101,Delhi,282,15.17,2024-01-02
173,101,Hyderabad,268,39.46,2024-01-26
174,101,Mumbai,567,36.63,2024-03-25
175,101,Mumbai,357,21.91,2024-01-31
176,101,Bangalore,365,2.56,2024-02-10
177,101,Hyderabad,475,27.14,2024-03-17
178,102,Mumbai,557,8.31,2024-01-24
179,102,Bangalore,498,8.52,2024-02-21
180,105,Mumbai,278,20.57,2024-01-23
181,104,Delhi,253,6.43,2024-03-11
182,105,Hyderabad,447,23.74,2024-01-09
183,102,Chennai,115,38.47,2024-03-06
184,103,Mumbai,407,8.18,2024-03-11
185,105,Hyderabad,466,31.62,2024-01-05
186,102,Delhi,198,7.22,2024-03-16
187,102,Chennai,491,13.01,2024-02-14
188,104,Bangalore,373,23.24,2024-02-12
189,104,Bangalore,133,26.7,2024-03-13
190,102,Mumbai,334,13.07,2024-02-17
191,104,Delhi,132,27.31,2024-02-18
192,105,Chennai,426,21.75,2024-01-03
193,105,Hyderabad,365,27.66,2024-01-09
194,105,Hyderabad,294,40.62,2024-02-12
195,105,Mumbai,486,2.02,2024-03-15
196,105,Delhi,454,14.57,2024-02-29
197,103,Bangalore,553,14.94,2024-03-05
198,105,Bangalore,327,1.62,2024-03-10
199,102,Mumbai,489,12.92,2024-03-20
200,105,Mumbai,263,9.13,2024-01-23
201,104,Bangalore,458,20.28,2024-01-22
202,104,Hyderabad,226,23.45,2024-01-13
203,104,Hyderabad,291,14.52,2024-01-10
204,101,Bangalore,101,12.52,2024-02-21
205,101,Hyderabad,529,16.8,2024-01-29
206,104,Mumbai,229,16.13,2024-03-16
207,103,Mumbai,474,26.35,2024-03-01
208,103,Chennai,301,42.76,2024-03-26
209,104,Mumbai,292,21.55,2024-01-19
210,103,Mumbai,256,21.82,2024-01-14
211,104,Mumbai,190,21.76,2024-03-05
212,105,Chennai,541,27.69,2024-01-22
213,105,Delhi,192,39.73,2024-02-26
